"uf","br","total_acidentes","total_acidentes_fatais","taxa_letalidade"
AC,364,220,18,8.18
AC,317,52,11,21.15
AC,307,5,0,0.00
AC,0,3,0,0.00
AL,101,254,29,11.42
AL,316,177,24,13.56
AL,104,130,15,11.54
AL,423,39,8,20.51
AL,424,15,4,26.67
AL,416,13,6,46.15
AL,110,1,0,0.00
AM,174,73,8,10.96
AM,319,36,10,27.78
AM,230,24,0,0.00
AM,0,4,0,0.00
AM,317,1,1,100.00
AP,210,111,9,8.11
AP,156,57,0,0.00
AP,0,1,0,0.00
BA,116,1038,110,10.60
BA,101,956,122,12.76
BA,324,942,56,5.94
BA,242,256,50,19.53
BA,110,210,41,19.52
BA,367,137,3,2.19
BA,407,127,21,16.54
BA,235,76,14,18.42
BA,415,63,2,3.17
BA,135,58,13,22.41
BA,349,52,12,23.08
BA,330,49,6,12.24
BA,20,48,9,18.75
BA,418,37,5,13.51
BA,420,28,8,28.57
BA,410,26,2,7.69
BA,30,4,2,50.00
BA,430,1,0,0.00
CE,116,707,65,9.19
CE,222,359,47,13.09
CE,20,132,15,11.36
CE,304,51,2,3.92
CE,230,22,12,54.55
CE,402,13,5,38.46
CE,226,7,4,57.14
CE,403,6,3,50.00
CE,0,3,0,0.00
CE,122,2,0,0.00
DF,20,348,10,2.87
DF,70,285,8,2.81
DF,40,124,2,1.61
DF,60,121,8,6.61
DF,80,68,9,13.24
DF,251,59,6,10.17
DF,0,6,0,0.00
ES,101,2084,112,5.37
ES,262,382,23,6.02
ES,259,123,7,5.69
ES,393,37,1,2.70
ES,447,8,2,25.00
ES,0,7,0,0.00
ES,484,1,0,0.00
GO,153,973,66,6.78
GO,60,803,50,6.23
GO,40,335,23,6.87
GO,70,210,25,11.90
GO,20,170,21,12.35
GO,414,161,20,12.42
GO,50,159,10,6.29
GO,364,137,12,8.76
GO,452,105,7,6.67
GO,80,78,8,10.26
GO,158,41,5,12.20
GO,251,12,0,0.00
GO,0,12,0,0.00
