"causa_acidente","total_acidentes","acidentes_fatais","taxa_letalidade"
Suicídio (presumido),190,106,55.79
Pedestre andava na pista,606,250,41.25
Entrada inopinada do pedestre,667,203,30.43
Transitar na contramão,2475,736,29.74
Participar de racha,22,6,27.27
Pedestre cruzava a pista fora da faixa,525,130,24.76
Falta de acostamento,60,11,18.33
Modificação proibida,11,2,18.18
Pedestre - Ingestão de álcool/ substâncias psicoativas,150,27,18.00
Ultrapassagem Indevida,1770,302,17.06
Transtornos Mentais (exceto suicidio),59,10,16.95
Restrição de visibilidade em curvas verticais,13,2,15.38
Área urbana sem a presença de local apropriado para a travessia de pedestres,81,12,14.81
Iluminação deficiente,157,23,14.65
Deficiência do Sistema de Iluminação/Sinalização,165,24,14.55
Mal súbito do condutor,546,73,13.37
Transitar no Acostamento,498,65,13.05
Semáforo com defeito,8,1,12.50
Velocidade Incompatível,4088,385,9.42
Curva acentuada,203,17,8.37
Sinalização mal posicionada,61,5,8.20
Problema com o freio,247,19,7.69
Demais falhas na via,275,19,6.91
Ausência de reação do condutor,11469,779,6.79
Deixar de acionar o farol da motocicleta (ou similar),15,1,6.67
Condutor Dormindo,2116,135,6.38
Afundamento ou ondulação no pavimento,206,12,5.83
Acessar a via sem observar a presença dos outros veículos,7097,394,5.55
Animais na Pista,1305,72,5.52
Estacionar ou parar em local proibido,182,10,5.49
