"tipo_acidente","total_acidentes","acidentes_fatais","taxa_letalidade_tipo_pct","taxa_letalidade_geral_pct","efeito_lift"
Atropelamento de Pedestre,3057,902,29.51,7.18,4.11
Colisão frontal,4739,1396,29.46,7.18,4.10
Colisão lateral sentido oposto,2152,212,9.85,7.18,1.37
Eventos atípicos,287,23,8.01,7.18,1.12
Atropelamento de Animal,1133,68,6.00,7.18,0.84
Saída de leito carroçável,10209,605,5.93,7.18,0.82
Colisão com objeto,5109,297,5.81,7.18,0.81
Capotamento,1373,63,4.59,7.18,0.64
Colisão transversal,9306,427,4.59,7.18,0.64
Colisão traseira,14360,619,4.31,7.18,0.60
Tombamento,6351,268,4.22,7.18,0.59
Derramamento de carga,107,3,2.80,7.18,0.39
Colisão lateral mesmo sentido,7885,212,2.69,7.18,0.37
Queda de ocupante de veículo,3450,87,2.52,7.18,0.35
Engavetamento,1233,28,2.27,7.18,0.32
Incêndio,1771,0,0.00,7.18,0.00
Sinistro pessoal de trânsito,7,0,0.00,7.18,0.00
