"uf","total_acidentes_por_uf","total_mortos_por_uf","percentual_fatalidade_por_uf"
MA,1262,281,22.27
PA,1117,224,20.05
RR,142,28,19.72
AM,138,26,18.84
AL,629,96,15.26
TO,677,102,15.07
BA,4108,583,14.19
CE,1302,171,13.13
PI,1490,168,11.28
PE,3013,336,11.15
AC,280,29,10.36
GO,3196,308,9.64
MT,2636,243,9.22
MS,1654,150,9.07
SE,589,51,8.66
AP,169,14,8.28
MG,9570,765,7.99
PR,7630,593,7.77
PB,1978,142,7.18
RO,1452,102,7.02
RN,1648,111,6.74
RS,4899,327,6.67
ES,2642,161,6.09
SC,8186,434,5.30
RJ,6428,330,5.13
SP,4683,221,4.72
DF,1011,47,4.65
